Country,category_id,avg_likes,avg_dislikes
Gb,10,272139.0,11587.0
Gb,29,271696.0,60409.0
Gb,24,81572.0,9657.0
Gb,23,78431.0,2533.0
Gb,28,61531.0,3133.0
Gb,1,57206.0,2403.0
Gb,22,46273.0,4102.0
Gb,43,41837.0,320.0
Gb,17,39270.0,5199.0
Gb,20,39220.0,1289.0
Gb,27,38441.0,1298.0
Gb,15,28630.0,686.0
Gb,26,26639.0,834.0
Gb,25,25022.0,3086.0
Gb,2,24609.0,1953.0
Gb,19,9674.0,362.0
IN,15,120845.0,2163.0
IN,20,101632.0,5176.0
IN,10,65922.0,3896.0
IN,23,50777.0,2035.0
IN,17,45103.0,1801.0
IN,1,41762.0,2603.0
IN,30,41416.0,2136.0
IN,28,38760.0,1655.0
IN,24,23704.0,1641.0
IN,26,9336.0,1018.0
IN,22,8839.0,659.0
IN,2,7494.0,310.0
IN,27,6089.0,201.0
IN,43,3842.0,1104.0
IN,25,2966.0,522.0
IN,19,2117.0,77.0
IN,29,2077.0,83.0
US,29,259924.0,58077.0
US,10,218918.0,7908.0
US,20,84502.0,11242.0
US,1,70788.0,2591.0
US,23,62582.0,2092.0
US,22,58136.0,3174.0
US,24,53243.0,4314.0
US,17,45364.0,2361.0
US,26,39286.0,1320.0
US,28,34374.0,1894.0
US,27,29745.0,816.0
US,15,21055.0,573.0
US,43,18994.0,430.0
US,19,12030.0,847.0
US,2,11056.0,633.0
US,25,7298.0,1681.0
