Country,category_id,avg_trending_days
Gb,29,22.2
Gb,10,22.1
Gb,43,21.0
Gb,1,19.2
Gb,24,16.9
Gb,28,16.7
Gb,15,16.7
Gb,27,16.2
Gb,22,15.5
Gb,23,15.3
Gb,26,15.1
Gb,20,14.1
Gb,17,13.9
Gb,25,13.4
Gb,2,12.5
Gb,19,11.3
IN,15,63.3
IN,20,11.6
IN,30,7.3
IN,10,6.7
IN,1,5.6
IN,25,5.5
IN,24,5.5
IN,23,5.3
IN,17,4.6
IN,22,4.1
IN,28,3.6
IN,26,3.5
IN,43,3.3
IN,27,3.3
IN,2,2.8
IN,19,2.3
IN,29,1.8
US,43,18.0
US,20,12.1
US,10,11.7
US,1,10.6
US,26,10.1
US,19,9.9
US,24,9.7
US,15,9.7
US,23,9.6
US,28,9.3
US,22,9.3
US,27,8.9
US,17,7.9
US,25,7.3
US,2,6.7
US,29,5.4
